hr,workingday,cnt
0,0,16
1,0,40
2,0,32
3,0,13
4,0,1
5,0,1
6,0,2
7,0,3
8,0,8
9,0,14
10,0,36
11,0,56
12,0,84
13,0,94
14,0,106
15,0,110
16,0,93
17,0,67
18,0,35
19,0,37
20,0,36
21,0,34
22,0,28
23,0,39
0,0,17
1,0,17
2,0,9
3,0,6
4,0,3
6,0,2
7,0,1
8,0,8
9,0,20
10,0,53
11,0,70
12,0,93
13,0,75
14,0,59
15,0,74
16,0,76
17,0,65
18,0,53
19,0,30
20,0,22
21,0,31
22,0,9
23,0,8
0,1,5
1,1,2
4,1,1
5,1,3
6,1,30
7,1,64
8,1,154
9,1,88
10,1,44
11,1,51
12,1,61
13,1,61
14,1,77
15,1,72
16,1,76
17,1,157
18,1,157
19,1,110
20,1,52
21,1,52
22,1,20
23,1,12
0,1,5
1,1,2
2,1,1
4,1,2
5,1,4
6,1,36
7,1,94
8,1,179
9,1,100
10,1,42
11,1,57
12,1,78
13,1,97
14,1,63
15,1,65
16,1,83
17,1,212
18,1,182
19,1,112
20,1,54
21,1,48
22,1,35
23,1,11
0,1,6
1,1,6
2,1,2
4,1,2
5,1,3
6,1,33
7,1,88
8,1,195
9,1,115
10,1,57
11,1,46
12,1,79
13,1,71
14,1,62
15,1,62
16,1,89
17,1,190
18,1,169
19,1,132
20,1,89
21,1,43
22,1,42
23,1,19
0,1,11
1,1,4
2,1,2
4,1,1
5,1,4
6,1,36
7,1,95
8,1,219
9,1,122
10,1,45
11,1,59
12,1,84
13,1,67
14,1,70
15,1,62
16,1,86
17,1,172
18,1,163
19,1,112
20,1,69
21,1,48
22,1,52
23,1,23
0,1,17
1,1,7
2,1,1
4,1,1
5,1,5
6,1,34
7,1,84
8,1,210
9,1,134
10,1,63
11,1,67
12,1,59
13,1,73
14,1,50
15,1,72
16,1,87
17,1,187
18,1,123
19,1,95
20,1,51
21,1,39
22,1,36
23,1,15
0,0,25
1,0,16
2,0,16
3,0,7
4,0,1
5,0,5
6,0,2
7,0,9
8,0,15
9,0,20
10,0,61
11,0,62
12,0,98
13,0,102
14,0,95
15,0,74
16,0,76
17,0,69
18,0,55
19,0,30
20,0,28
21,0,37
22,0,34
23,0,22
0,0,25
1,0,12
2,0,11
3,0,4
4,0,1
5,0,1
6,0,1
7,0,6
8,0,10
9,0,19
10,0,49
11,0,49
12,0,83
13,0,75
14,0,72
15,0,82
16,0,92
17,0,62
18,0,48
19,0,41
20,0,38
21,0,20
22,0,15
23,0,6
0,1,5
1,1,1
2,1,3
3,1,1
4,1,3
5,1,3
6,1,31
7,1,77
8,1,188
9,1,94
10,1,31
11,1,30
12,1,52
13,1,54
14,1,47
15,1,45
16,1,74
17,1,178
18,1,155
19,1,95
20,1,74
21,1,38
22,1,24
23,1,18
0,1,12
1,1,3
2,1,3
5,1,6
6,1,27
7,1,99
8,1,217
9,1,130
10,1,54
11,1,35
12,1,57
13,1,52
14,1,63
15,1,47
16,1,76
17,1,136
18,1,95
19,1,51
20,1,32
21,1,20
22,1,29
23,1,19
0,1,7
1,1,6
2,1,1
5,1,5
6,1,16
7,1,54
8,1,128
9,1,81
10,1,39
11,1,35
12,1,55
13,1,49
14,1,44
15,1,49
16,1,68
17,1,139
18,1,137
19,1,83
20,1,56
21,1,57
22,1,33
23,1,20
0,1,7
1,1,2
2,1,2
3,1,3
4,1,4
5,1,3
6,1,28
7,1,72
8,1,202
9,1,139
10,1,38
11,1,37
12,1,52
13,1,83
14,1,42
15,1,60
16,1,78
17,1,162
18,1,144
19,1,99
20,1,64
21,1,40
22,1,30
23,1,15
0,1,14
1,1,5
2,1,1
3,1,1
5,1,8
6,1,17
7,1,70
8,1,158
9,1,117
10,1,44
11,1,53
12,1,61
13,1,77
14,1,64
15,1,68
16,1,90
17,1,159
18,1,139
19,1,92
20,1,68
21,1,52
22,1,36
23,1,27
0,0,28
1,0,20
2,0,12
3,0,8
4,0,5
5,0,1
6,0,3
7,0,10
8,0,23
9,0,33
10,0,59
11,0,72
12,0,89
13,0,101
14,0,118
15,0,129
16,0,128
17,0,83
18,0,84
19,0,74
20,0,41
21,0,57
22,0,26
23,0,44
0,0,39
1,0,23
2,0,16
3,0,15
4,0,1
5,0,2
6,0,1
7,0,3
8,0,18
9,0,32
10,0,79
11,0,93
12,0,104
13,0,118
14,0,91
15,0,113
16,0,99
17,0,105
18,0,67
19,0,61
20,0,57
21,0,28
22,0,21
23,0,18
0,0,17
1,0,16
2,0,8
3,0,2
4,0,3
5,0,1
6,0,5
7,0,13
8,0,33
9,0,47
10,0,57
11,0,64
12,0,80
13,0,93
14,0,86
15,0,93
16,0,82
17,0,71
18,0,92
19,0,60
20,0,33
21,0,27
22,0,13
23,0,4
12,1,3
13,1,22
14,1,28
15,1,35
16,1,61
17,1,125
18,1,133
19,1,99
20,1,83
21,1,41
22,1,33
23,1,20
0,1,3
1,1,7
2,1,3
4,1,2
5,1,7
6,1,32
7,1,90
8,1,197
9,1,109
10,1,47
11,1,52
12,1,70
13,1,78
14,1,75
15,1,82
16,1,104
17,1,197
18,1,161
19,1,112
20,1,76
21,1,59
22,1,59
23,1,28
0,1,13
1,1,5
2,1,2
3,1,1
4,1,1
5,1,6
6,1,35
7,1,101
8,1,249
9,1,143
10,1,57
11,1,68
12,1,84
13,1,98
14,1,81
15,1,70
16,1,91
17,1,215
18,1,185
19,1,152
20,1,126
21,1,57
22,1,56
23,1,31
0,1,21
1,1,6
2,1,2
3,1,1
4,1,1
5,1,5
6,1,27
7,1,68
8,1,217
9,1,166
10,1,63
11,1,59
12,1,78
13,1,73
14,1,62
15,1,65
16,1,97
17,1,161
18,1,120
19,1,96
20,1,53
21,1,41
22,1,34
23,1,27
0,0,13
1,0,12
2,0,11
3,0,7
4,0,3
6,0,2
7,0,8
8,0,27
9,0,40
10,0,53
11,0,63
12,0,70
13,0,84
14,0,75
15,0,103
16,0,83
17,0,67
18,0,54
19,0,59
20,0,45
21,0,39
22,0,30
23,0,33
0,0,22
1,0,13
2,0,18
3,0,5
5,0,3
6,0,1
7,0,2
8,0,19
9,0,28
10,0,58
11,0,99
12,0,116
13,0,87
14,0,110
15,0,77
16,0,65
17,0,55
18,0,49
19,0,50
20,0,35
21,0,25
22,0,28
23,0,21
0,1,7
1,1,1
3,1,1
4,1,1
5,1,5
6,1,15
7,1,84
8,1,177
9,1,102
10,1,40
11,1,46
12,1,63
13,1,60
14,1,45
15,1,57
16,1,70
17,1,184
18,1,153
19,1,106
20,1,81
21,1,59
22,1,35
23,1,24
0,1,9
1,1,5
2,1,2
4,1,1
5,1,9
6,1,36
7,1,108
8,1,238
9,1,144
10,1,55
11,1,61
12,1,106
13,1,93
14,1,68
15,1,84
16,1,116
